Date,Microsoft,Google,Amazon,Oracle,Meta,CoreWeave,Nebius,Applied Digital,IREN,Core Scientific,DigitalOcean,NVIDIA,AMD,Broadcom,Marvell,Qualcomm,Arm,Intel,Micron,SanDisk,Western Digital,Seagate,NetApp,TSMC,ASML,Applied Materials,Lam Research,KLA,Teradyne,ASM International,Tokyo Electron,Palantir,ServiceNow,Salesforce,Adobe,Snowflake,Datadog,MongoDB,Cloudflare,CrowdStrike,Palo Alto Networks,Zscaler,GitLab,Atlassian,NextEra Energy,Constellation Energy,Vistra,Southern Company,Duke Energy,American Electric Power,Dominion Energy,Vertiv,Eaton,GE Vernova,Quanta Services,Hubbell,Schneider Electric,Arista Networks,Cisco,Credo Technology,Astera Labs,Coherent,Lumentum,Ciena,Amphenol
2025-12-09,14696100,30194000,25841700,17643600,12997100,34362200,10060000,31545900,30778400,10347100,2485300,144719700,25166100,24546000,23037400,7719100,2303400,61877200,17067100,6299000,3709900,2072700,1271900,11349100,904700,4062600,8127000,7827000,1871400,5200,62600,18937600,4894500,8045900,4267700,6129200,2824600,1234100,1905500,8143200,3193500,1518200,3844000,1863700,13760400,1359900,3939500,6830100,2929700,2196400,4456500,6414700,2149700,3017500,744900,357359,367100,5227900,15737500,4881600,5018900,3995700,4494300,3288500,5597300
2025-12-10,35756200,33428900,38790700,47928000,16910900,26553900,10080700,18524000,32084700,6521900,1414700,162785400,23279400,31531000,22573600,11100100,1765800,75974900,21960700,6090400,7966000,3617400,1976000,12429200,1093600,6244600,9259600,7119000,2057200,10800,82000,59398000,8460500,8894700,6789900,9177800,2281600,1719400,2931700,9437200,4715800,1692700,4268200,1918500,13341100,2382200,5778100,8528200,3366400,3241300,6792200,5301300,2554100,11396400,1057700,467933,303800,5921300,21302700,9031600,2947500,4188500,5333100,3822200,6758800
2025-12-11,24669200,42353700,28249600,100612700,13056700,26922800,11896100,21150900,26514600,7127300,1443400,182136600,30694600,45681600,16593500,6319200,4227500,59096800,18867000,7622500,7468900,3176300,1845200,15028400,1403600,7061200,10000000,9223000,2507100,4400,216000,36843200,7037000,7783800,10158700,4932400,2692400,1314000,2316100,8006000,5776100,1294300,3470500,1510500,9494100,2530300,6197100,6262600,2992300,3171500,6554400,11321100,2405600,4830900,716600,572950,891500,6679500,18652300,7089000,5541100,5474400,3394000,8607300,7248000
2025-12-12,21248100,35940200,35639100,55201600,14016900,35221400,14990600,24669600,35607100,12713200,1101000,204274900,37073900,95588500,21576300,8865800,3965900,87784500,25936900,12083200,9677900,5255600,1489200,19306100,1623000,6739300,11414800,11439000,4163300,7500,157700,42427400,7495000,6006600,5483900,3900700,3725100,1260100,2109600,10710800,5352700,1880900,2747700,1438200,7783100,3778600,5870200,4796100,2955700,2671700,7601200,12512200,3921900,5225700,1497000,1177643,571100,8508700,16672300,7997700,10324300,7353000,6869100,4664500,13261000
2025-12-15,23727700,29151900,47286100,43897500,15549100,31357600,17138600,43525300,47434800,13451100,1903800,164775600,27222200,65894900,11953300,6954700,6924800,60898500,27483600,6265000,5781900,3465600,1355800,12082400,1283400,6406000,10258800,12584000,3223300,5400,98100,32796100,29629000,10271800,5480100,5275700,3823900,2066200,2033800,8739600,6660300,1820000,3077200,2711700,9489800,2628800,4287400,6826800,3797200,3031100,6858700,8861400,2569000,3529600,1564400,571492,269900,6441900,17646000,5586500,5503000,4507400,4708500,2686500,8042400
2025-12-16,20705600,30585000,39298900,32433500,14309100,36004000,13847800,33022900,44868200,24484900,2155700,148588100,23467600,58061100,9483800,7136000,6198800,50490300,22577300,6638400,5857000,3091000,1755800,11418400,956300,5859700,8078600,7355000,3711500,9600,59500,42070300,16672500,6145300,4118200,4793300,4047300,1758400,2157800,7034800,5757200,2247800,3457400,1588800,6616600,2496800,4190100,6579500,3222300,2706000,7027200,7808700,2527100,3572200,988000,486525,196800,6656100,17737200,4778400,3551000,4319600,4921000,2727100,7901700
2025-12-17,24527200,43930400,44034400,50222000,15598500,48237300,17064100,29286300,33031700,20262200,1602800,222775500,31595400,73300900,16662700,8501900,8686600,54792000,41957100,8232300,6693100,3514100,2070900,16823000,2140900,7855400,12277800,9138000,3577500,4600,82600,50424700,11774500,6269000,4371600,2945100,3790000,1349800,2147200,9269200,5758300,1730100,3692800,3488800,10212000,4598000,6902900,8995400,4436700,3808900,9188200,11959800,7694400,6770100,1556700,599833,512100,8589200,26094400,4786900,4513500,4582800,4164200,2365600,12047300
2025-12-18,28573500,33518000,50272400,36297300,20260300,34161600,10345800,31804200,36087300,15181000,1370300,176096000,29720100,54501900,12732100,8967500,5194900,69468400,65006100,9924100,9147100,3730500,2405400,11260300,1645400,8741200,14006400,10565000,2754700,5300,91700,40221500,9644000,5654200,3352700,4823200,4380200,1957700,1875300,7340400,7224300,1505900,2941900,2193600,9201300,3773200,7652500,5553400,4611000,4794800,11093100,7773800,3826600,4426500,1099300,597282,216500,5515200,19249400,5374200,3374700,4707800,3966400,3057100,8009200
2025-12-19,70836100,59943200,85544400,77008600,49977100,70583000,17558700,38058900,30827100,20619000,2326200,324925900,58445500,159095200,21722200,25223500,7854500,163221300,62312100,10925000,36269600,24731300,3799800,12735800,2319600,25749700,38469400,21561000,7880500,5200,94300,76929400,25257500,20732100,8706300,6288800,6302900,1407400,4360800,18650800,19050300,3695000,5026800,4378500,30492300,5429500,7141800,11300700,6898600,7322400,10159800,9716400,7357000,4489100,1602500,989476,299500,12713100,84881900,9664800,9627000,4441000,4410200,4528300,17537500
2025-12-22,16963000,26429900,32261300,27148000,15659400,23984300,11303100,23209100,34981800,9699700,1244800,129064400,24950700,28739600,9871000,6422100,7754300,51685400,30961900,8663400,8685200,4340400,1791500,6091100,703700,4182000,11436100,6045000,2756500,7100,87300,36686000,11120300,5664200,2960800,2789200,3049000,1375600,2694700,9213200,4982500,1553000,3717800,1372900,7136200,1390300,4379200,5245900,2477200,3049000,18834500,5688100,2080400,2694300,772900,335520,222600,5547300,18016100,5094100,4824700,3380000,3125500,2811400,5349000
